[*] 瑁佸垽鍚姩: pypy 鎵х孩鍏堣(姣忕潃 1.5s) vs pypy57 鎵ч粦(姣忕潃 1.5s), 闅忔満绉嶅瓙 20260935
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine)
[engine_server] 棰勭儹瀹屾垚
[engine_server] 灏辩华 (PyPy 3.11.13, engine=jieqi_engine_v57)
[engine_server] 棰勭儹瀹屾垚
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[+] 寮曟搸瀛愯繘绋嬪氨缁?(PyPy: pypy3.EXE)
[*] 绾㈡柟寮曟搸: pypy (miaosiSari 鍘熺増, alpha-beta)
[*] 榛戞柟寮曟搸: pypy57 (v5.7 鍩虹嚎, 鏃犻噸澶嶆劅鐭?
[131] 绾?g9h9 (0, 6)->(0, 7)  鐢ㄦ椂 1.04s (score=-1 depth=12)
[132] 榛?c1b0 (1, 6)->(0, 7) 鍚?r鍏?鐢ㄦ椂 0.75s (score=81 depth=7)
[133] 绾?e1f1 (8, 4)->(8, 5)  鐢ㄦ椂 0.34s (score=-10 depth=12)
[134] 榛?e5f7 (5, 4)->(7, 3)  鐢ㄦ椂 0.94s (score=1 depth=12)
[135] 绾?f1e1 (8, 5)->(8, 4)  鐢ㄦ椂 0.11s (score=10 depth=12)
[136] 榛?f7d6 (7, 3)->(6, 5)  鐢ㄦ椂 0.44s (score=0 depth=12)
[137] 绾?e1f1 (8, 4)->(8, 5)  鐢ㄦ椂 0.30s (score=-10 depth=12)
[138] 榛?d6f7 (6, 5)->(7, 3)  鐢ㄦ椂 0.42s (score=0 depth=12)

========================================================
瀵瑰眬缁撴灉
========================================================
鑳滆€? pypy (绾㈡柟)
鍘熷洜: 绗?138 鐫€鍚庡眬闈㈢ 2 娆″嚭鐜? 榛戞柟闀垮皢 (闂幆鍐呴粦鏂规瘡鐫€鍧囧皢鍐?, 鍒よ礋
鎬绘鏁? 138 鐫€, 鍏ㄥ眬澧欓挓 149.0s

鍙屾柟鐢ㄦ椂:
  pypy  (绾㈡柟):  69 鐫€  鎬荤敤鏃?   78.5s  骞冲潎  1.14s  鏈€闀?  1.54s
  pypy57 (榛戞柟):  69 鐫€  鎬荤敤鏃?   70.3s  骞冲潎  1.02s  鏈€闀?  1.54s

[*] 妫嬭氨宸蹭繚瀛? C:\Users\yimingwang218185\Desktop\jieqi_ai\tools\games\game_20260820_170659.json / .txt

缁堝眬妫嬬洏 (绾㈡柟鍦ㄤ笅):
    0 1 2 3 4 5 6 7 8
 0 | 路 路 路 b灏?路 路 路 b澹?路
 1 | 路 路 路 路 路 路 路 路 路
 2 | 路 路 路 路 路 路 路 路 路
 3 | 路 路 路 路 路 路 路 路 路
 4 | 路 路 路 路 路 路 路 路 路
 5 | 路 路 路 路 路 路 路 路 路
 6 | 路 路 路 路 路 路 路 路 路
 7 | 路 路 路 b棣?路 路 路 b鍗?路
 8 | 路 路 b棣?路 路 r甯?路 路 路
 9 | 路 路 路 路 b鍗?路 路 路 路
